trait,label,uuid,count,mean,std
A,high,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.559226,0.2372397192972646
A,high,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.51169,0.19978725342887385
A,high,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.435164,0.22418316469042057
A,high,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.46300800000000003,0.2615923669859389
A,high,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.579416,0.24769679898733335
A,high,68596747-1f84-41e4-9643-84f1efb21be2,50,0.341112,0.27965486501495135
A,high,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.48812,0.22563531529927686
A,high,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.446438,0.21790853154102838
A,high,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.466996,0.25049810375265014
A,high,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.46686999999999995,0.2689561312002462
A,high,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.42703800000000003,0.28497241319403643
A,high,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.47361000000000003,0.24037562123833248
A,high,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.524544,0.24443171506703512
A,high,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.615826,0.17232012900768295
A,high,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.43414200000000003,0.23938394920874603
A,high,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.476954,0.2834662087697327
A,high,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.602842,0.20423013238871046
A,high,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.6727920000000001,0.299722342830555
A,high,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.641402,0.20465865108835768
A,high,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.6122879999999999,0.22859922477416003
A,low,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.536762,0.24786840475855537
A,low,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.608782,0.20860676480509682
A,low,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.50354,0.2207171899947616
A,low,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.343792,0.16706072077089154
A,low,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.621102,0.2783404584537521
A,low,68596747-1f84-41e4-9643-84f1efb21be2,50,0.36001399999999995,0.2996297906294584
A,low,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.55665,0.26542304257658605
A,low,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.362522,0.20101274636201555
A,low,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.4853,0.2315282272207862
A,low,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.420942,0.25941326975798795
A,low,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.434482,0.26050551146976225
A,low,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.487436,0.24994145254030825
A,low,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.48714599999999997,0.23002990152568942
A,low,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.58898,0.197379112059891
A,low,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.44209000000000004,0.2406269245881156
A,low,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.40534,0.21378718294564977
A,low,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.5207999999999999,0.17135474362638842
A,low,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.546628,0.3138235634810082
A,low,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.642636,0.19536814412481762
A,low,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.615614,0.2322622022980203
C,high,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.564188,0.1444914878362835
C,high,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.7274259999999999,0.10099936312185544
C,high,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.727374,0.09084392718350773
C,high,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.7190859999999999,0.09425446887039796
C,high,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.7245579999999999,0.15018401514169752
C,high,68596747-1f84-41e4-9643-84f1efb21be2,50,0.704828,0.11237302864721116
C,high,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.7476900000000001,0.09709491936938275
C,high,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.7192959999999999,0.09675693923329697
C,high,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.6441020000000001,0.08734192599625161
C,high,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.702534,0.14184785987465726
C,high,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.6931579999999999,0.13433649661372363
C,high,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.7513460000000001,0.0983134724298989
C,high,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.6703659999999999,0.10154341709388177
C,high,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.7961480000000001,0.07626782626015363
C,high,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.631576,0.11983411418477202
C,high,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.665258,0.11522777990235032
C,high,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.79217,0.07490684078185629
C,high,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.66003,0.1545955701374475
C,high,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.773894,0.12214256710074167
C,high,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.7202120000000001,0.09632753572460735
C,low,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.578576,0.1486958662395653
C,low,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.760914,0.10474301693152803
C,low,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.693356,0.09789088085772875
C,low,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.6926439999999999,0.143578929669008
C,low,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.658994,0.1655629893202374
C,low,68596747-1f84-41e4-9643-84f1efb21be2,50,0.694404,0.0999037597298683
C,low,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.7462399999999999,0.11291302956212787
C,low,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.7066060000000001,0.09511387892029902
C,low,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.651054,0.11926044079566159
C,low,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.6785559999999999,0.14982104857435208
C,low,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.6565420000000001,0.11969021594030453
C,low,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.7007479999999999,0.11108369934974482
C,low,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.684662,0.11002374491398649
C,low,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.783524,0.10219675213498117
C,low,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.617586,0.11613495669843313
C,low,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.6827200000000001,0.14068319453470554
C,low,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.740078,0.07650807957867148
C,low,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.691254,0.14921109715529113
C,low,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.7746299999999999,0.10619274015310316
C,low,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.759696,0.12413250813348695
E,high,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.6585160000000001,0.18325871793166942
E,high,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.453796,0.09663800528418476
E,high,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.43219,0.10110374193200299
E,high,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.49026600000000004,0.12653310385598138
E,high,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.48107799999999995,0.1216593911924029
E,high,68596747-1f84-41e4-9643-84f1efb21be2,50,0.536104,0.10186337380260377
E,high,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.467754,0.10037070312047215
E,high,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.484396,0.11560305758261319
E,high,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.489412,0.1434601397245796
E,high,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.507698,0.18539735318322895
E,high,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.47050800000000004,0.17995047259664282
E,high,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.42525599999999997,0.08986267791264989
E,high,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.49208399999999997,0.12344951932027992
E,high,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.510818,0.07217457772226835
E,high,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.462334,0.13150273778480034
E,high,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.536458,0.17180497021866603
E,high,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.44242600000000004,0.09282694192387667
E,high,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.48747399999999996,0.1442731858917205
E,high,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.490982,0.11490685436296581
E,high,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.459126,0.0960267815746828
E,low,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.558308,0.1728621827364452
E,low,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.45298,0.11660599802544554
E,low,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.402814,0.09582842663333467
E,low,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.46964999999999996,0.08952695466866332
E,low,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.43748800000000004,0.09951881503986458
E,low,68596747-1f84-41e4-9643-84f1efb21be2,50,0.49087000000000003,0.12210308834617359
E,low,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.4468,0.1124613747751935
E,low,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.425418,0.08847829825004824
E,low,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.48193199999999997,0.1411128762837085
E,low,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.42751199999999995,0.14839219496500014
E,low,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.39120399999999994,0.1251551852375152
E,low,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.425516,0.09902673800957157
E,low,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.470418,0.07390613376549518
E,low,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.463512,0.09881579779507703
E,low,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.43363599999999997,0.11093628574040842
E,low,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.385042,0.1434124309216504
E,low,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.395624,0.08767904960009268
E,low,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.42214599999999997,0.1105032203981737
E,low,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.434634,0.09815825541503094
E,low,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.44819000000000003,0.07539140114991189
N,high,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.311906,0.1579853821835219
N,high,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.339128,0.10675417124192864
N,high,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.33177599999999996,0.11756561964472853
N,high,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.40639800000000004,0.10531577491001982
N,high,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.33950600000000003,0.12049726122723828
N,high,68596747-1f84-41e4-9643-84f1efb21be2,50,0.35916,0.11736181627074176
N,high,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.40834200000000004,0.15432643522145925
N,high,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.389526,0.11561274523695252
N,high,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.305438,0.13402146932792644
N,high,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.428352,0.17682398170531746
N,high,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.42152,0.16252372385693892
N,high,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.364296,0.1540472415745725
N,high,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.37268999999999997,0.13730808982216686
N,high,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.27949,0.07276345587040299
N,high,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.41828200000000004,0.15385829909367907
N,high,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.395746,0.1438412747809621
N,high,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.38394599999999995,0.14785276351002377
N,high,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.378008,0.12313001398057725
N,high,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.309176,0.1175835622275599
N,high,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.399176,0.11827151840280957
N,low,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.265642,0.10764366023020168
N,low,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.313786,0.06480948535389502
N,low,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.361982,0.09934675552152199
N,low,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.358786,0.09439092833011238
N,low,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.351588,0.12567875251072894
N,low,68596747-1f84-41e4-9643-84f1efb21be2,50,0.33219,0.10080879709345099
N,low,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.344756,0.07959610840656338
N,low,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.35938400000000004,0.06618980857491336
N,low,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.32689599999999996,0.1349673036142382
N,low,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.42047199999999996,0.12318970113327705
N,low,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.432852,0.129856168847518
N,low,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.338628,0.11649305320446347
N,low,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.368666,0.07890609404571373
N,low,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.275772,0.056788871574401587
N,low,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.37790399999999996,0.12870137395204004
N,low,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.333932,0.10998973317579067
N,low,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.269616,0.11582355926853852
N,low,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.360766,0.09311124268468184
N,low,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.284144,0.07257809913100086
N,low,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.350544,0.06392986961171927
O,high,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.26384,0.2099853658652217
O,high,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.511994,0.16985645609617261
O,high,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.545844,0.1645835662190723
O,high,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.43241999999999997,0.13880752346839337
O,high,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.355274,0.17585248666227646
O,high,68596747-1f84-41e4-9643-84f1efb21be2,50,0.412896,0.15666589949732557
O,high,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.402278,0.11536175981915076
O,high,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.391868,0.15567984342547236
O,high,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.432194,0.20478588959083635
O,high,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.420512,0.14871061837113894
O,high,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.438116,0.15979682043272375
O,high,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.380182,0.1480467778943465
O,high,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.37629199999999996,0.1153894609130137
O,high,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.436444,0.21104262956539735
O,high,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.442598,0.15311635763532974
O,high,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.41409199999999996,0.21308521131611324
O,high,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.472722,0.22070635148938308
O,high,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.364626,0.16615514118695557
O,high,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.406028,0.1665312988171121
O,high,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.37911,0.1615444959869369
O,low,1321e6de-9674-4c09-a557-94881c5d97c3,50,0.386918,0.1913355474296506
O,low,166d2fb7-cb1a-4c8d-9b83-ffb8ffc23e4f,50,0.39311799999999997,0.12820634307272644
O,low,39259647-2907-435e-9db9-d36e2cfc7e97,50,0.540152,0.17097663074591363
O,low,5d8d1c36-e257-4145-ac02-7809900ce289,50,0.45929400000000004,0.17477269016803346
O,low,64b05955-bb82-4ca9-a031-6bf3f2951d59,50,0.347868,0.14883174919131653
O,low,68596747-1f84-41e4-9643-84f1efb21be2,50,0.44475200000000004,0.1348453115875478
O,low,68cd3294-997f-41ae-8ad4-cb797cfbf43a,50,0.402474,0.11633295953198038
O,low,8031cc93-e0f0-4e49-ba69-f0df3668ccf6,50,0.395444,0.11112767645132055
O,low,8a20ade6-5c74-492e-a812-d5461cb03c1b,50,0.408754,0.19599918284919204
O,low,9b733fc4-96f9-4d4b-9148-9dd056a6be6c,50,0.428482,0.1449223587910127
O,low,b38732bc-5ec5-4649-8c31-6877f7d6fc94,50,0.429912,0.18827943913237047
O,low,c63b1251-3e9b-47fc-bd02-a1f14ad25a55,50,0.405428,0.13222644312400028
O,low,d50ae8f6-30c3-4bd4-a2a1-82657f5f0668,50,0.391856,0.09749373430416658
O,low,d70d256d-b2e3-46a4-9deb-03df7bfc4969,50,0.45069000000000004,0.20418203587855172
O,low,e8d61f3c-354a-4a19-8af1-5c56b50875c5,50,0.397036,0.15847027759688143
O,low,eb2c4d27-ad75-4661-b5b3-3e615fce96bd,50,0.40856000000000003,0.13503149594801644
O,low,eb2d5f37-14bb-4857-b274-1f26f11a72a1,50,0.524026,0.18739019839111445
O,low,f266e704-4556-4bc4-a41a-f31fc1d957ad,50,0.363538,0.13529324144092283
O,low,f9056776-e2ee-41f7-b041-d6ef2deeaa12,50,0.31451,0.1458948856302414
O,low,fc9d330d-2f3a-4581-a23c-d40f5e90b8f7,50,0.460878,0.12939151202329105
